feature,importance
pgw__eps-bearer-creation__delta__roll_std_1h,0.00022827786
sgw__session_success_rate__roll_std_1h,0.00021723774
pgw__pdp-create-failed__delta__diff_15min,0.0002064793
stats__deactivation_failure_rate__diff_15min,0.00018075979
pdc__tot-run-time__roll_mean_1h,0.00012348258
pmjob__cpu_mean__diff_15min,0.000118025826
sgw__sgwGtpTunnelMgmtS4S11-smCreateSessionRespRejSent__delta,0.000106270054
sgw__session_success_rate__diff_15min,9.4840296e-05
pgw__pdp-create-failed__delta__roll_std_1h,8.7546825e-05
pdc__session-backout-fail,0.0
pgw__eps_success_rate__diff_15min,0.0
pgw__pdp-created__delta__lag_15min,0.0
stats__ Failed.8,0.0
sgw__sgwDownlinkTraffic-sgwDownlinkDroppedPackets__delta__diff_15min,0.0
pdc__session-backout-fail__diff_15min,0.0
pdc__session-backout-fail__roll_mean_1h,0.0
cal__jour_semaine,0.0
cal__heure_sin,0.0
