Time,Active PDP contexts,Active EPS bearers,PDP creations, Failed,EPS bearer creations, Failed.3,PDP updates, Failed.7,EPS bearer modifications, Failed.8,PDP deactivations, Failed.9,Packets,Bytes,Dropped packets,Packets.1,Bytes.1,Dropped packets.1,Active subscribers,Failed RADIUS Accounting procedures,Total successful DT establishments,Total requests for DT establishments,DT RNC error indications,pdp_success_rate,pdp_failure_rate,eps_success_rate,eps_failure_rate,update_failure_rate,modification_failure_rate,deactivation_failure_rate,total_traffic,total_packets,total_dropped_packets,packet_drop_rate,avg_packet_size,traffic_per_subscriber,pdp_per_subscriber,eps_per_subscriber,dt_success_rate,dt_error_rate,radius_failure_rate
2026-06-02 11:33:01,44853,648973,125008465,151441445,1182785572,1219733390,2591697775,1075292,19343240429,19581,171341977,4598585,18113709315036,4919679030972221,607278872607,40071713403110,44511751568558316,3630353879602,690191,106388917,960298256,960329310,625958,0.4521920987422278,0.5478079012577721,0.4923106084521301,0.50768939154787,0.00041472661594876094,1.012290585448218e-06,0.026137150795278237,49431430599530537,58185422718146,4237632752209,0.0728298009062574,849.5500812803169,71619929265.27663,0.06498635884849266,0.9402802992215198,0.9999676631758745,0.0006518159900794864,154.14416733918583
2026-06-02 11:48:02,45082,649139,125020938,151459502,1182892554,1219847401,2592143270,1075446,19346114130,19582,171364632,4599486,18116342886169,4920471521463910,607315765538,40078568932453,44519461265078690,3630384210582,690504,106400967,960462830,960493893,626059,0.45218727950519755,0.5478127204948025,0.49230985298198865,0.5076901470180114,0.0004147147301400242,1.01219190829089e-06,0.02613877222400535,49439932786542600,58194911818622,4237699976120,0.07281908063247487,849.5576544670033,71599777534.29756,0.06528854286144613,0.940094481711909,0.9999676593466899,0.0006518094540347067,154.09174602898753
2026-06-02 12:03:01,45465,648603,125033778,151478031,1183003404,1219961695,2592594610,1075582,19349032869,19582,171387859,4600393,18119036742300,4921271610424801,607353284043,40085588858371,44527373963211158,3630414826351,690245,106413862,960630242,960661310,626160,0.4521824165563938,0.5478175834436062,0.4923098568898524,0.5076901431101476,0.0004146949767621033,1.0120392225712303e-06,0.02614034145870146,49448645573635959,58204625600671,4237768110394,0.07280809843994848,849.5655639620832,71639266599.01334,0.06586791646444379,0.9396706966367014,0.9999676597780335,0.0006518009973775253,154.16824750632023
2026-06-02 12:18:01,45393,649678,125047181,151496451,1183119159,1220075699,2593049644,1075732,19352001317,19583,171411770,4601293,18121758108611,4922070518375674,607389622305,40092680993210,44535366461536481,3630443309068,691120,106428954,960799570,960830653,626251,0.4521788482187867,0.5478211517812133,0.49231095641766726,0.5076890435823328,0.0004146800343392501,1.0119356578412954e-06,0.02614176994351834,49457436979912155,58214439101821,4237832931373,0.07279693829843044,849.5733660408158,71561287446.33661,0.06568034494733187,0.9400364625535362,0.9999676498663912,0.0006517808294777623,153.9948981363584
2026-06-02 12:33:02,44816,649882,125060057,151515434,1183228967,1220189161,2593490705,1075872,19354948287,19586,171434913,4602144,18124505462546,4922875214846932,607445892788,40099842419918,44543447743221826,3630472409072,690625,106444734,960963870,960994960,626364,0.4521733163984512,0.5478266836015487,0.49231091053832643,0.5076890894616736,0.00041466347772196714,1.011936580236968e-06,0.026143041007553314,49466322958068758,58224347882464,4237918301860,0.0727860157474838,849.5813994847166,71625445007.15839,0.06489194570135746,0.9410056108597286,0.9999676481133678,0.000651786977113803,154.12812162895926
2026-06-02 12:48:01,44125,649606,125072888,151534823,1183336042,1220302486,2593914975,1076015,19357809816,19587,171457530,4603012,18127256775358,4923692094588899,607513873562,40107021127477,44551560827932494,3630501438838,689618,106461893,961123228,961154334,626468,0.45216703304413663,0.5478329669558634,0.49231031547186116,0.5076896845281388,0.00041465076531922756,1.0118386515465668e-06,0.026144483867373305,49475252922521393,58234277902835,4238015312400,0.07277527025356456,849.5898756583157,71742983684.47661,0.06398469877526398,0.9419794726935782,0.9999676368311522,0.0006517871041509552,154.37806582774812
2026-06-02 13:03:02,43474,649919,125086963,151554036,1183447271,1220416308,2594326101,1076156,19360648914,19587,171481366,4603825,18130051539537,4924513138781280,607560279604,40114341064777,44559848917505031,3630530417602,689264,106478163,961277432,961308545,626558,0.4521635023447844,0.5478364976552156,0.4923104960441684,0.5076895039558316,0.0004146393866682994,1.0116902729359943e-06,0.026145441157513355,49484362056286311,58244392604314,4238090697206,0.07276392640915096,849.5987312025148,71793045997.30482,0.06307307504816732,0.9429173727338146,0.9999676347410393,0.0006517761682852825,154.48095794934886
2026-06-02 13:18:01,42886,648943,125099774,151573085,1183562702,1220529626,2594726372,1076295,19363461584,19589,171503571,4604623,18132876671587,4925328509084025,607603748675,40121802579486,44568307844577829,3630559388241,687579,106496776,961428823,961459942,626661,0.4521577376695269,0.5478422623304731,0.49231166715823405,0.507688332841766,0.00041462897533882533,1.0116466055346732e-06,0.026146557382787084,49493636353661854,58254679251073,4238163136916,0.07275232121096842,849.6079111576299,71982472346.68578,0.062372469199902844,0.9438086387164238,0.9999676335969492,0.0006517806646176425,154.88660357573457
2026-06-02 13:33:01,42507,648315,125112431,151592196,1183675034,1220642572,2595113826,1076446,19366241926,19589,171525345,4605371,18135750234748,4926152815750578,607660815227,40129383971818,44576914927233149,3630588072901,686558,106513269,961575619,961606745,626774,0.4521515681051477,0.5478484318948522,0.49231225984708776,0.5076877401529122,0.0004146252343711116,1.0115013672012783e-06,0.026147460843797397,49503067742983727,58265134206566,4238248888128,0.07274073845092739,849.6173297650303,72103256743.03369,0.06191319597178971,0.9442974956230937,0.9999676312586597,0.0006517986726476216,155.14096259893557
2026-06-02 13:48:01,41507,648363,125124858,151611763,1183784325,1220756003,2595488775,1076589,19368972795,19592,171546448,4606073,18138636512061,4926983393562460,607716699108,40136985711487,44585549869700044,3630615943879,685566,106530675,961717507,961748638,626888,0.4521441995925794,0.5478558004074205,0.4923121110572615,0.5076878889427385,0.0004146204116123302,1.011513640386873e-06,0.026148209369084192,49512533263262504,58275622223548,4238332642987,0.07272908432841023,849.6268486560318,72221395552.37935,0.060544134335716766,0.9457338899537024,0.999967630835366,0.0006518210426620848,155.39083764364042
