Time,tot-run-time,num-cmds-ok,num-cmds-fail-timeout,num-cmds-default-ok,num-cmds-mapn-ok,num-cmds-aapn-ok,time-default,time-mapn,time-aapn,login-time,timeout-occured,session-backout-fail,total_commands,timeout_rate,command_success_rate,avg_runtime_per_command,avg_login_time,configuration_time,mapn_ratio,aapn_ratio,default_command_ratio
2026-06-02 11:33:01,35,38,0,18,12,8,8,20,7,0,0,0,38,0.0,1.0,0.9210526315789473,0.0,35,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 11:48:02,45,38,0,18,12,8,11,24,10,0,0,0,38,0.0,1.0,1.1842105263157894,0.0,45,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 12:03:01,33,38,0,18,12,8,9,17,6,1,0,0,38,0.0,1.0,0.868421052631579,0.02631578947368421,32,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 12:18:01,37,38,0,18,12,8,15,9,13,0,0,0,38,0.0,1.0,0.9736842105263158,0.0,37,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 12:33:02,33,38,0,18,12,8,10,12,11,0,0,0,38,0.0,1.0,0.868421052631579,0.0,33,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 12:48:01,28,38,0,18,12,8,8,10,9,1,0,0,38,0.0,1.0,0.7368421052631579,0.02631578947368421,27,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 13:03:02,40,38,0,18,12,8,12,16,12,0,0,0,38,0.0,1.0,1.0526315789473684,0.0,40,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 13:18:01,34,38,0,18,12,8,10,16,8,0,0,0,38,0.0,1.0,0.8947368421052632,0.0,34,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 13:33:01,31,38,0,18,12,8,11,13,6,1,0,0,38,0.0,1.0,0.8157894736842105,0.02631578947368421,30,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 13:48:01,30,38,0,18,12,8,12,13,5,0,0,0,38,0.0,1.0,0.7894736842105263,0.0,30,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 14:03:01,40,38,0,18,12,8,10,12,18,0,0,0,38,0.0,1.0,1.0526315789473684,0.0,40,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 14:18:01,40,38,0,18,12,8,11,15,14,0,0,0,38,0.0,1.0,1.0526315789473684,0.0,40,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 14:33:01,32,38,0,18,12,8,8,17,6,1,0,0,38,0.0,1.0,0.8421052631578947,0.02631578947368421,31,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 14:48:01,38,38,0,18,12,8,20,11,7,0,0,0,38,0.0,1.0,1.0,0.0,38,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 15:03:01,40,38,0,18,12,8,11,21,8,0,0,0,38,0.0,1.0,1.0526315789473684,0.0,40,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 15:18:01,38,38,0,18,12,8,15,16,6,1,0,0,38,0.0,1.0,1.0,0.02631578947368421,37,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 15:33:01,42,38,0,18,12,8,10,21,11,0,0,0,38,0.0,1.0,1.105263157894737,0.0,42,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 15:48:01,41,38,0,18,12,8,20,15,6,0,0,0,38,0.0,1.0,1.0789473684210527,0.0,41,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 16:03:02,32,38,0,18,12,8,12,14,6,0,0,0,38,0.0,1.0,0.8421052631578947,0.0,32,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 16:18:02,28,38,0,18,12,8,10,11,6,1,0,0,38,0.0,1.0,0.7368421052631579,0.02631578947368421,27,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 16:33:02,37,38,0,18,12,8,20,11,6,0,0,0,38,0.0,1.0,0.9736842105263158,0.0,37,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 16:48:01,41,38,0,18,12,8,14,20,7,0,0,0,38,0.0,1.0,1.0789473684210527,0.0,41,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 17:03:02,36,38,0,18,12,8,14,12,10,0,0,0,38,0.0,1.0,0.9473684210526315,0.0,36,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 17:18:01,39,38,0,18,12,8,12,19,7,1,0,0,38,0.0,1.0,1.0263157894736843,0.02631578947368421,38,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 17:33:01,41,38,0,18,12,8,13,18,9,1,0,0,38,0.0,1.0,1.0789473684210527,0.02631578947368421,40,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 17:48:01,36,38,0,18,12,8,9,21,6,0,0,0,38,0.0,1.0,0.9473684210526315,0.0,36,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 18:03:02,40,38,0,18,12,8,11,13,16,0,0,0,38,0.0,1.0,1.0526315789473684,0.0,40,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 18:18:01,39,38,0,18,12,8,14,18,7,0,0,0,38,0.0,1.0,1.0263157894736843,0.0,39,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 18:33:01,32,38,0,18,12,8,9,10,12,1,0,0,38,0.0,1.0,0.8421052631578947,0.02631578947368421,31,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 18:48:01,44,38,0,18,12,8,10,23,11,0,0,0,38,0.0,1.0,1.1578947368421053,0.0,44,0.3157894736842105,0.21052631578947367,0.47368421052631576
2026-06-02 19:03:01,37,38,0,18,12,8,14,17,6,0,0,0,38,0.0,1.0,0.9736842105263158,0.0,37,0.3157894736842105,0.21052631578947367,0.47368421052631576
